length_of_association,Income,total_amount_spend
101,58138.0,1441.0
83,46344.0,20.0
89,71613.0,713.0
83,26646.0,45.0
84,58293.0,380.0
89,62513.0,660.0
99,55635.0,514.0
93,33454.0,145.0
92,30351.0,41.0
82,18985.5,35.0
99,18985.5,44.0
86,63033.0,960.0
86,59354.0,291.0
100,18985.5,40.0
98,82800.0,1202.0
97,41850.0,79.0
101,37760.0,277.0
94,76995.0,1590.0
99,33812.0,70.0
102,37040.0,230.0
97,18985.5,1644.0
97,58607.0,953.0
84,65324.0,507.0
94,40689.0,339.0
97,18985.5,50.0
92,53359.0,210.0
92,38360.0,100.0
86,84130.0,1606.0
80,18985.5,24.0
93,38620.0,207.0
100,40548.0,117.0
99,46610.0,237.0
95,68657.0,1106.0
89,49389.0,61.0
85,67353.0,870.0
89,23718.0,38.0
83,42429.0,63.0
96,48948.0,811.0
93,80011.0,1115.0
95,20559.0,46.0
97,21994.0,18.0
88,18985.5,17.0
79,79941.0,780.0
99,18985.5,50.0
92,41728.0,37.0
99,72550.0,1243.0
80,65486.0,426.0
102,79143.0,1494.0
97,35790.0,68.0
79,82582.0,1336.0
91,66373.0,473.0
98,82384.0,1644.0
94,70287.0,933.0
81,27938.0,23.0
83,55954.0,475.0
91,75777.0,1345.0
101,66653.0,588.0
95,61823.0,701.0
92,67680.0,594.0
86,70666.0,924.0
92,25721.0,16.0
80,32474.0,16.0
82,84130.0,1212.0
88,69096.0,462.0
94,74854.0,1460.0
101,66991.0,1181.0
94,65031.0,740.0
94,60631.0,636.0
81,28332.0,41.0
97,40246.0,16.0
101,75251.0,1644.0
100,75825.0,1644.0
89,26326.0,16.0
97,56046.0,641.0
101,29760.0,143.0
91,26304.0,16.0
91,23559.0,56.0
93,38620.0,207.0
83,81361.0,637.0
89,29440.0,49.0
90,36138.0,146.0
80,50388.0,335.0
80,79593.0,1088.0
84,54178.0,187.0
82,42394.0,27.0
80,23626.0,43.0
80,30096.0,31.0
98,47916.0,531.0
94,51813.0,60.0
86,78497.0,755.0
91,50150.0,338.0
90,47823.0,61.0
82,34554.0,50.0
93,84130.0,926.0
92,65846.0,999.0
80,84130.0,1033.0
85,24594.0,20.0
88,49096.0,179.0
96,52413.0,747.0
97,38557.0,114.0
98,84130.0,785.0
87,77298.0,855.0
99,68126.0,1644.0
79,57288.0,548.0
97,84130.0,688.0
98,43974.0,479.0
88,50785.0,86.0
84,84130.0,1609.0
95,36550.0,354.0
91,30753.0,42.0
86,21918.0,25.0
91,56129.0,540.0
83,32557.0,66.0
89,19510.0,19.0
93,30992.0,38.0
95,84130.0,895.0
95,71488.0,359.0
93,79607.0,1644.0
79,54348.0,86.0
80,77376.0,637.0
88,62998.0,316.0
95,61331.0,586.0
83,73448.0,554.0
89,41551.0,256.0
94,62981.0,1438.0
102,18985.5,16.0
91,33762.0,90.0
80,35860.0,27.0
90,36921.0,33.0
99,84130.0,1644.0
86,65104.0,983.0
93,84130.0,1219.0
89,68352.0,805.0
94,41883.0,180.0
99,59809.0,787.0
99,23957.0,41.0
89,38547.0,17.0
101,35688.0,178.0
79,49605.0,99.0
81,59354.0,433.0
83,65747.0,434.0
97,46344.0,318.0
80,34176.0,55.0
100,61010.0,945.0
95,69372.0,1326.0
91,49967.0,291.0
88,60199.0,18.0
87,55375.0,120.0
89,80317.0,1083.0
91,30523.0,16.0
99,70356.0,1644.0
85,23228.0,112.0
93,74165.0,1269.0
83,84130.0,1605.0
86,43482.0,57.0
86,62551.0,373.0
89,52332.0,257.0
87,66951.0,917.0
83,26091.0,52.0
81,33456.0,28.0
90,28718.0,33.0
81,50447.0,118.0
84,53537.0,87.0
82,52074.0,71.0
101,80427.0,1644.0
97,83837.0,1118.0
80,38853.0,43.0
79,38285.0,16.0
86,78497.0,755.0
80,51650.0,179.0
80,18985.5,36.0
88,66835.0,875.0
84,30477.0,54.0
79,28249.0,19.0
98,25271.0,39.0
83,32303.0,37.0
90,61286.0,482.0
94,74068.0,1490.0
95,45759.0,64.0
101,24882.0,44.0
92,66973.0,1067.0
88,36640.0,36.0
92,38872.0,50.0
95,51148.0,294.0
85,31353.0,23.0
80,69661.0,810.0
88,80067.0,1376.0
96,84130.0,1065.0
82,46854.0,183.0
79,69142.0,492.0
85,75922.0,1180.0
87,63693.0,1009.0
99,84130.0,1006.0
90,40637.0,35.0
99,18985.5,18.0
86,29604.0,33.0
92,48721.0,259.0
79,44794.0,61.0
101,64497.0,1580.0
94,46097.0,229.0
82,77972.0,987.0
100,44377.0,254.0
96,46014.0,488.0
93,70951.0,1057.0
82,41443.0,374.0
80,52195.0,16.0
86,83790.0,1551.0
89,44551.0,219.0
98,69508.0,1060.0
81,45204.0,95.0
86,72460.0,1007.0
81,77622.0,700.0
97,30732.0,181.0
101,63887.0,1142.0
94,42011.0,149.0
99,51369.0,383.0
98,51537.0,1011.0
102,79930.0,1644.0
83,34320.0,17.0
94,37070.0,379.0
97,81975.0,1423.0
92,38590.0,16.0
81,18985.5,16.0
94,62745.0,1075.0
85,22212.0,40.0
86,23661.0,22.0
88,79761.0,559.0
85,18985.5,30.0
80,60182.0,20.0
87,73455.0,1644.0
97,64961.0,847.0
90,22804.0,24.0
86,73687.0,1433.0
101,61074.0,922.0
80,31686.0,16.0
92,80134.0,1610.0
97,75027.0,1301.0
101,67546.0,1644.0
99,65176.0,1391.0
88,31160.0,50.0
87,29938.0,16.0
94,84130.0,792.0
100,26490.0,165.0
101,75702.0,1076.0
100,30899.0,32.0
99,63342.0,1070.0
99,45989.0,286.0
92,18985.5,28.0
86,40737.0,16.0
100,18985.5,16.0
92,69674.0,821.0
79,44159.0,255.0
98,37717.0,19.0
96,43776.0,253.0
94,38179.0,68.0
79,80124.0,1170.0
99,38097.0,114.0
91,72940.0,716.0
88,22070.0,44.0
100,69267.0,1416.0
82,31788.0,46.0
84,61905.0,216.0
82,29315.0,37.0
96,33378.0,82.0
88,66313.0,741.0
96,60714.0,703.0
81,77882.0,781.0
94,69867.0,741.0
93,63841.0,770.0
96,24480.0,60.0
99,51369.0,383.0
101,37760.0,277.0
83,65640.0,380.0
81,44319.0,34.0
90,30631.0,45.0
96,75278.0,782.0
97,50898.0,610.0
80,79946.0,1309.0
91,35416.0,336.0
91,32414.0,31.0
85,38361.0,115.0
99,82497.0,1644.0
84,18985.5,54.0
95,29672.0,16.0
101,55951.0,1321.0
95,35388.0,21.0
96,42386.0,85.0
97,68627.0,733.0
82,57912.0,881.0
81,35246.0,50.0
87,58821.0,700.0
83,46377.0,87.0
81,39747.0,208.0
85,23976.0,38.0
94,80950.0,1003.0
100,27038.0,69.0
83,77457.0,1101.0
88,64100.0,536.0
93,42670.0,222.0
84,18985.5,24.0
87,22574.0,35.0
96,70893.0,1450.0
85,54198.0,216.0
82,28839.0,31.0
90,40321.0,75.0
102,66503.0,348.0
90,30833.0,21.0
96,64795.0,574.0
91,34421.0,19.0
83,47025.0,19.0
96,64325.0,1222.0
97,40464.0,566.0
91,62187.0,1112.0
91,18985.5,54.0
87,27255.0,34.0
93,54432.0,38.0
95,29999.0,144.0
93,24072.0,19.0
88,33996.0,65.0
94,66334.0,1138.0
97,35178.0,39.0
91,22010.0,25.0
101,62204.0,761.0
98,75693.0,1315.0
99,30675.0,39.0
95,83003.0,1527.0
88,83532.0,1565.0
102,68655.0,1382.0
86,41411.0,118.0
98,55212.0,1148.0
91,59292.0,479.0
89,27190.0,16.0
86,82623.0,614.0
91,44300.0,39.0
79,84130.0,783.0
97,30372.0,34.0
85,33181.0,16.0
85,71113.0,794.0
97,71952.0,1243.0
87,69759.0,999.0
99,72099.0,1166.0
97,60000.0,1265.0
86,38643.0,38.0
93,50737.0,89.0
98,68462.0,1494.0
89,65073.0,892.0
88,46681.0,368.0
100,78618.0,1644.0
82,62187.0,595.0
83,28442.0,43.0
98,37717.0,19.0
97,51479.0,421.0
101,54803.0,524.0
92,79530.0,1277.0
94,31615.0,31.0
98,72025.0,1566.0
98,52614.0,943.0
81,35684.0,21.0
99,48178.0,214.0
89,29548.0,17.0
99,63810.0,1258.0
91,38578.0,67.0
101,46098.0,84.0
94,22585.0,40.0
97,30279.0,32.0
88,66426.0,1196.0
91,30822.0,27.0
97,33581.0,16.0
86,19986.0,16.0
98,27421.0,229.0
101,35688.0,178.0
82,36143.0,16.0
92,18985.5,24.0
87,43795.0,382.0
100,63381.0,796.0
101,38823.0,83.0
93,83664.0,1066.0
85,84130.0,1547.0
85,62499.0,205.0
81,74293.0,955.0
93,51012.0,176.0
83,70777.0,702.0
88,68682.0,1523.0
100,43824.0,151.0
101,18985.5,26.0
97,23442.0,16.0
99,18985.5,25.0
94,31395.0,49.0
100,75276.0,977.0
89,42373.0,136.0
95,30507.0,213.0
87,55521.0,442.0
79,48006.0,37.0
101,27213.0,58.0
80,65808.0,255.0
92,30351.0,41.0
99,50437.0,477.0
98,23616.0,40.0
99,53858.0,739.0
94,66465.0,1442.0
101,46923.0,285.0
96,75072.0,926.0
82,75865.0,1230.0
86,19789.0,44.0
83,80134.0,1326.0
95,84130.0,1223.0
95,49505.0,723.0
81,37401.0,44.0
80,30096.0,31.0
80,18985.5,16.0
92,82584.0,1276.0
93,84130.0,1644.0
86,48686.0,19.0
81,84130.0,1644.0
82,75433.0,1097.0
81,18985.5,25.0
93,61314.0,664.0
93,84130.0,1644.0
99,42387.0,489.0
96,67309.0,892.0
86,75236.0,916.0
84,30015.0,49.0
91,50943.0,40.0
85,67272.0,691.0
89,51529.0,445.0
89,32011.0,116.0
96,18985.5,21.0
91,28691.0,30.0
85,56223.0,152.0
90,18985.5,16.0
97,30279.0,32.0
82,20130.0,16.0
90,23295.0,16.0
88,42618.0,177.0
85,81246.0,1186.0
92,24027.0,43.0
85,55707.0,327.0
93,57959.0,811.0
95,56796.0,917.0
87,36230.0,54.0
86,70829.0,389.0
101,65991.0,915.0
101,38988.0,303.0
100,84130.0,1644.0
94,42207.0,202.0
80,50300.0,242.0
100,66664.0,1161.0
85,60597.0,811.0
88,70165.0,613.0
84,50520.0,120.0
79,80124.0,1170.0
83,33183.0,68.0
83,66582.0,1250.0
93,75261.0,1644.0
99,31880.0,16.0
83,53790.0,532.0
102,49269.0,824.0
94,61456.0,1107.0
87,37406.0,16.0
102,56937.0,890.0
97,38415.0,40.0
80,20518.0,16.0
95,62503.0,781.0
80,41644.0,29.0
80,55842.0,490.0
99,62010.0,438.0
99,41124.0,387.0
85,38961.0,45.0
89,37760.0,44.0
101,32233.0,213.0
87,43057.0,259.0
100,83151.0,655.0
101,78825.0,840.0
86,65104.0,983.0
91,60093.0,639.0
84,18985.5,18.0
99,28457.0,162.0
100,78952.0,1644.0
98,46310.0,290.0
95,76005.0,1632.0
97,58308.0,770.0
86,55614.0,656.0
93,59432.0,632.0
82,55563.0,41.0
93,78642.0,1644.0
80,67911.0,948.0
94,65275.0,711.0
102,27203.0,40.0
86,48330.0,32.0
97,24279.0,93.0
101,64355.0,1254.0
91,50943.0,40.0
99,53653.0,1092.0
86,65665.0,880.0
90,81217.0,1033.0
91,34935.0,107.0
97,61250.0,645.0
92,39665.0,184.0
94,60152.0,794.0
87,48920.0,331.0
82,84130.0,1644.0
93,44124.0,339.0
93,81169.0,1644.0
96,36443.0,115.0
91,26095.0,30.0
89,71367.0,681.0
83,80184.0,1644.0
84,30630.0,42.0
83,73454.0,1462.0
89,42691.0,283.0
100,70503.0,1628.0
101,25545.0,113.0
98,32880.0,34.0
86,77863.0,1254.0
79,50353.0,376.0
102,61839.0,1644.0
87,49154.0,313.0
95,47682.0,403.0
88,72679.0,1060.0
79,57954.0,484.0
93,65316.0,213.0
91,28567.0,38.0
94,47352.0,304.0
84,44931.0,89.0
83,76982.0,972.0
90,57247.0,172.0
85,22944.0,45.0
87,25315.0,29.0
102,43638.0,163.0
98,42710.0,301.0
90,84130.0,1644.0
92,54058.0,500.0
83,24683.0,28.0
85,84130.0,1447.0
86,47850.0,112.0
84,19514.0,40.0
82,27159.0,20.0
82,39548.0,32.0
81,21474.0,57.0
83,60504.0,488.0
93,22419.0,99.0
87,81698.0,838.0
101,43462.0,219.0
95,54880.0,632.0
94,79908.0,1476.0
90,18985.5,39.0
92,84130.0,1644.0
89,33039.0,58.0
91,81741.0,1400.0
91,71499.0,758.0
84,62466.0,685.0
87,48799.0,301.0
79,52157.0,223.0
98,66565.0,983.0
89,29298.0,16.0
91,47691.0,17.0
98,38200.0,16.0
101,44989.0,253.0
84,38443.0,37.0
88,38593.0,129.0
90,64413.0,249.0
88,36959.0,62.0
96,61996.0,1206.0
82,51287.0,152.0
89,18985.5,40.0
88,47472.0,67.0
91,54603.0,221.0
99,45207.0,213.0
94,40689.0,339.0
87,47821.0,31.0
93,27450.0,80.0
82,39453.0,53.0
81,26850.0,52.0
100,79800.0,1643.0
88,61794.0,553.0
80,53863.0,439.0
89,24221.0,28.0
100,39684.0,60.0
98,84130.0,1644.0
86,69882.0,1186.0
84,33178.0,31.0
88,59973.0,348.0
88,18985.5,29.0
99,23910.0,53.0
87,42169.0,28.0
92,26224.0,39.0
101,31089.0,67.0
95,30081.0,38.0
101,62807.0,699.0
88,72906.0,1022.0
98,61467.0,540.0
96,49618.0,113.0
97,21888.0,146.0
83,42429.0,63.0
95,26150.0,22.0
99,30801.0,32.0
81,81168.0,1149.0
89,26877.0,210.0
90,45006.0,256.0
98,18985.5,16.0
87,22574.0,35.0
99,48240.0,792.0
90,45837.0,332.0
93,35791.0,32.0
92,84130.0,104.0
94,54162.0,27.0
101,30522.0,289.0
91,54456.0,389.0
90,31632.0,48.0
82,72298.0,887.0
85,36975.0,27.0
92,72635.0,839.0
96,18985.5,29.0
92,84130.0,1016.0
100,70971.0,1644.0
101,34487.0,94.0
97,28769.0,185.0
86,69084.0,1526.0
79,65488.0,891.0
84,62466.0,685.0
83,32218.0,62.0
93,83917.0,1310.0
82,46102.0,16.0
92,84130.0,1158.0
97,56181.0,301.0
100,63120.0,1367.0
87,73691.0,1063.0
100,63381.0,796.0
80,76140.0,1322.0
97,62859.0,1270.0
93,45906.0,339.0
95,77632.0,1644.0
89,46463.0,213.0
96,84130.0,1496.0
85,55282.0,212.0
80,78710.0,992.0
88,66886.0,422.0
83,84130.0,1644.0
101,29103.0,39.0
102,67445.0,1083.0
81,50616.0,57.0
102,49431.0,348.0
83,84130.0,16.0
85,61278.0,144.0
100,26490.0,165.0
89,73059.0,942.0
87,46734.0,146.0
98,56253.0,581.0
86,19986.0,16.0
85,58330.0,815.0
101,25965.0,56.0
97,18985.5,22.0
97,18985.5,37.0
92,45068.0,17.0
88,21063.0,41.0
93,29187.0,32.0
87,54690.0,171.0
90,59304.0,987.0
87,59247.0,477.0
101,66731.0,782.0
85,77353.0,510.0
98,52614.0,943.0
80,26751.0,16.0
99,81300.0,1193.0
85,70337.0,442.0
91,36145.0,153.0
85,65295.0,548.0
87,68118.0,751.0
101,68743.0,1644.0
90,41039.0,361.0
87,38946.0,210.0
85,65777.0,1060.0
95,66476.0,563.0
101,84130.0,1644.0
102,84130.0,1644.0
80,77845.0,1280.0
88,69476.0,968.0
100,50611.0,489.0
89,61209.0,809.0
90,42315.0,179.0
87,18985.5,16.0
92,47570.0,88.0
90,61923.0,117.0
82,34824.0,19.0
94,26518.0,52.0
87,45938.0,524.0
81,78468.0,948.0
88,78901.0,674.0
82,71427.0,527.0
83,71022.0,1199.0
81,84130.0,1589.0
85,41335.0,168.0
97,71952.0,1243.0
79,35682.0,37.0
94,43185.0,601.0
86,66375.0,757.0
97,35178.0,39.0
90,25252.0,16.0
99,55250.0,837.0
95,33249.0,56.0
92,58398.0,526.0
90,50272.0,221.0
98,76618.0,1204.0
100,84130.0,934.0
96,25851.0,38.0
94,58710.0,889.0
82,45160.0,18.0
97,74806.0,928.0
93,59111.0,686.0
80,18988.0,16.0
95,72190.0,1532.0
102,18985.5,32.0
79,44794.0,61.0
86,80395.0,1256.0
84,75012.0,818.0
87,56962.0,382.0
93,84130.0,625.0
88,35946.0,16.0
102,53593.0,437.0
91,66373.0,473.0
87,45072.0,252.0
88,84130.0,1402.0
81,72025.0,1627.0
94,67432.0,1029.0
80,70545.0,295.0
94,18985.5,16.0
102,62882.0,1217.0
94,64108.0,1057.0
95,34941.0,70.0
85,48767.0,53.0
90,38702.0,61.0
84,82224.0,831.0
93,83844.0,1352.0
85,18985.5,23.0
82,71163.0,810.0
88,33697.0,16.0
84,63564.0,1116.0
85,83443.0,1357.0
88,51518.0,441.0
85,58330.0,815.0
95,80952.0,1644.0
81,75507.0,1280.0
96,63855.0,801.0
102,62220.0,1202.0
88,58512.0,1019.0
94,40662.0,65.0
82,38829.0,83.0
88,35523.0,50.0
81,79146.0,505.0
87,78285.0,1320.0
93,31626.0,51.0
80,75127.0,589.0
93,48726.0,183.0
101,74985.0,1644.0
101,67430.0,1110.0
89,46891.0,107.0
92,62058.0,392.0
91,72063.0,636.0
85,78939.0,1302.0
93,42720.0,516.0
93,33622.0,65.0
98,18985.5,123.0
95,41452.0,16.0
89,40760.0,87.0
84,74250.0,1158.0
85,51124.0,38.0
88,72258.0,1271.0
82,71466.0,1048.0
81,36283.0,24.0
80,20587.0,16.0
82,30467.0,16.0
91,31590.0,29.0
99,20425.0,24.0
83,18985.5,39.0
97,42564.0,597.0
80,43783.0,486.0
101,40780.0,340.0
96,62847.0,1475.0
99,82017.0,683.0
90,18985.5,35.0
87,51267.0,256.0
94,46524.0,111.0
96,45183.0,294.0
79,70421.0,718.0
99,60161.0,886.0
95,73926.0,1474.0
85,19329.0,53.0
85,61872.0,530.0
94,46984.0,32.0
96,34838.0,109.0
87,82716.0,997.0
94,48192.0,1439.0
87,49681.0,437.0
82,56850.0,56.0
87,55267.0,357.0
94,59666.0,877.0
94,72504.0,1223.0
87,26872.0,24.0
93,21359.0,37.0
80,73170.0,664.0
96,52750.0,722.0
86,84130.0,1306.0
80,65968.0,487.0
82,30772.0,16.0
98,22507.0,345.0
82,65685.0,705.0
89,25804.0,37.0
93,76412.0,1644.0
90,22063.0,33.0
79,57091.0,540.0
93,22419.0,99.0
92,84130.0,1644.0
93,78353.0,1389.0
93,84130.0,1601.0
97,37859.0,33.0
93,80995.0,1370.0
83,18985.5,21.0
86,55412.0,54.0
101,48789.0,530.0
93,56575.0,516.0
88,25130.0,16.0
95,35441.0,37.0
94,71391.0,779.0
93,49494.0,297.0
100,81702.0,1415.0
91,45889.0,37.0
82,56628.0,573.0
90,34026.0,51.0
98,40049.0,218.0
80,34176.0,55.0
99,19419.0,60.0
90,82504.0,977.0
84,81205.0,1644.0
100,61618.0,1095.0
97,55284.0,694.0
87,49980.0,172.0
93,18985.5,25.0
91,49166.0,258.0
84,65324.0,507.0
99,82347.0,1644.0
80,30843.0,26.0
82,46374.0,429.0
94,60474.0,1001.0
83,38576.0,41.0
95,55357.0,638.0
100,37758.0,39.0
93,84130.0,999.0
84,23228.0,39.0
83,44602.0,258.0
97,18985.5,16.0
100,38683.0,234.0
85,49514.0,263.0
92,57906.0,383.0
94,43456.0,379.0
88,19485.0,16.0
93,53172.0,341.0
99,30545.0,50.0
88,70123.0,1644.0
85,62450.0,891.0
79,21675.0,37.0
82,42395.0,142.0
88,61346.0,831.0
88,80812.0,1501.0
91,42835.0,488.0
95,39922.0,119.0
82,84130.0,1113.0
96,18985.5,103.0
83,24762.0,31.0
99,35797.0,46.0
90,36627.0,16.0
79,51111.0,47.0
101,84130.0,1644.0
91,82072.0,1644.0
98,46231.0,246.0
85,42243.0,50.0
94,51195.0,482.0
85,68092.0,1197.0
96,31814.0,62.0
101,51390.0,295.0
84,76630.0,772.0
81,26868.0,16.0
96,48948.0,811.0
98,55260.0,897.0
90,64090.0,611.0
84,78331.0,1408.0
89,37087.0,398.0
87,21846.0,48.0
96,81320.0,768.0
89,54137.0,182.0
90,66825.0,778.0
86,57100.0,310.0
94,58917.0,247.0
81,84130.0,1171.0
86,84130.0,1394.0
86,45684.0,21.0
85,47889.0,58.0
82,45921.0,184.0
91,78420.0,1397.0
87,75114.0,1169.0
96,52278.0,1024.0
90,35641.0,141.0
98,84130.0,1644.0
93,62820.0,862.0
85,73113.0,964.0
90,84130.0,1644.0
86,42607.0,271.0
92,74637.0,1634.0
81,46015.0,40.0
93,72354.0,1034.0
96,39858.0,62.0
81,34469.0,45.0
80,83033.0,1579.0
101,24401.0,328.0
83,77583.0,1029.0
85,74116.0,1644.0
81,74293.0,955.0
86,68397.0,1323.0
81,79632.0,1080.0
83,46107.0,83.0
102,64950.0,903.0
97,25443.0,16.0
80,75127.0,589.0
80,32892.0,43.0
87,71796.0,853.0
92,67536.0,1644.0
90,55239.0,649.0
90,60554.0,781.0
92,64831.0,890.0
90,56067.0,599.0
92,82025.0,1019.0
95,84130.0,1644.0
97,18985.5,35.0
100,51563.0,1214.0
83,57937.0,502.0
88,68274.0,234.0
86,39771.0,28.0
100,67893.0,930.0
80,27922.0,26.0
80,52190.0,59.0
96,44051.0,150.0
93,42767.0,88.0
80,46106.0,40.0
96,18985.5,48.0
98,59754.0,190.0
101,53700.0,570.0
81,59041.0,88.0
93,54237.0,304.0
100,70647.0,842.0
81,52597.0,536.0
97,41021.0,36.0
87,40233.0,130.0
79,50183.0,206.0
88,54753.0,538.0
89,84130.0,1644.0
100,33471.0,72.0
93,34596.0,16.0
100,44010.0,542.0
84,84130.0,1016.0
96,40706.0,74.0
99,18985.5,59.0
86,59052.0,403.0
100,80573.0,1457.0
84,83715.0,883.0
102,82576.0,1644.0
87,56962.0,382.0
85,35704.0,53.0
88,53103.0,890.0
90,46779.0,16.0
79,18985.5,16.0
90,33462.0,43.0
87,63693.0,1009.0
89,80763.0,1142.0
89,65352.0,375.0
86,82170.0,1644.0
87,75759.0,1644.0
93,79689.0,1157.0
79,35340.0,39.0
82,84130.0,1644.0
98,24884.0,16.0
101,42021.0,541.0
83,64449.0,700.0
79,64587.0,82.0
82,34824.0,19.0
86,75437.0,1435.0
83,26091.0,52.0
89,52845.0,831.0
87,46086.0,291.0
101,78028.0,490.0
88,84130.0,1644.0
94,56337.0,537.0
95,22434.0,30.0
92,36930.0,256.0
96,36130.0,395.0
99,65569.0,751.0
93,83844.0,1352.0
84,19514.0,40.0
93,36736.0,16.0
101,77568.0,1644.0
84,49187.0,115.0
95,30168.0,240.0
101,34053.0,91.0
81,38196.0,41.0
81,59412.0,352.0
82,70924.0,1135.0
92,54165.0,219.0
97,32300.0,28.0
95,20180.0,99.0
79,34961.0,77.0
91,28440.0,63.0
95,64504.0,1206.0
79,33564.0,64.0
99,18985.5,46.0
94,56320.0,542.0
89,28647.0,56.0
96,18985.5,42.0
90,32173.0,20.0
99,68316.0,1167.0
91,74538.0,1321.0
96,84130.0,1644.0
79,68695.0,1001.0
96,31056.0,31.0
80,79593.0,1088.0
101,28071.0,243.0
83,37334.0,45.0
88,46423.0,84.0
82,37126.0,61.0
92,47703.0,506.0
81,61180.0,462.0
99,38998.0,49.0
100,18985.5,164.0
80,76081.0,800.0
90,34728.0,30.0
100,33168.0,118.0
88,33585.0,87.0
87,77037.0,1060.0
99,35196.0,271.0
91,44529.0,659.0
82,70924.0,1135.0
80,28764.0,16.0
95,69098.0,1644.0
95,25959.0,25.0
94,27100.0,27.0
100,70596.0,942.0
101,42557.0,250.0
90,53312.0,253.0
98,72228.0,1180.0
94,67605.0,830.0
100,62845.0,1144.0
90,65196.0,955.0
97,42000.0,559.0
80,35860.0,27.0
81,65526.0,497.0
101,18985.5,21.0
81,83528.0,1459.0
102,64176.0,1561.0
102,22304.0,16.0
83,67023.0,881.0
80,32892.0,43.0
98,70713.0,1211.0
98,59925.0,689.0
83,39722.0,39.0
90,46610.0,332.0
91,84130.0,1644.0
93,84130.0,1210.0
89,26907.0,17.0
84,50014.0,344.0
93,41014.0,17.0
82,66294.0,758.0
98,36715.0,328.0
101,79456.0,1219.0
89,40479.0,16.0
96,75345.0,1644.0
96,54233.0,839.0
87,24163.0,16.0
97,84130.0,388.0
81,43776.0,19.0
82,71691.0,1117.0
80,84130.0,1644.0
81,39190.0,113.0
89,71367.0,681.0
91,38578.0,67.0
82,57236.0,116.0
90,61825.0,367.0
80,79803.0,819.0
99,80910.0,676.0
93,27590.0,16.0
97,56775.0,867.0
88,83829.0,1644.0
92,54210.0,313.0
90,38508.0,370.0
87,53187.0,250.0
82,30023.0,34.0
86,76045.0,1230.0
79,50870.0,61.0
90,18985.5,39.0
84,65463.0,514.0
80,66480.0,285.0
95,76773.0,1107.0
95,81698.0,899.0
83,54466.0,16.0
83,84130.0,1644.0
89,18985.5,43.0
89,71819.0,1392.0
87,33569.0,39.0
88,36262.0,245.0
96,22634.0,44.0
